id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
369;Male;20;0;US;Psychology;2.625;3.375;3.125;1.625;2;3;8;11;7;7;10
371;Female;21;2;US;Other;1.875;2.75;4;3.25;4;2.5;12;8;10;8;9
372;Female;42;3;US;Other;2.875;4.125;3.25;3.375;1.875;1.75;11;10;6;13;5
373;Female;18;2;US;Other;1.75;2.5;3.75;2.125;1.75;1;14;9;8;13;2
374;Male;17;3;US;Other;4.25;4.25;2;2.75;1.75;2;3;7;3;10;6
375;Female;16;2;US;Other;1;1;3.75;1;2;1.25;7;12;9;8;9
378;Male;17;3;US;Other;3.375;2;2.375;4.25;3.625;3.75;12;13;13;9;4
379;Male;19;3;US;Other;3;1.625;1;1.75;2.875;3.875;14;11;13;5;6
393;Female;25;2;US;Psychology;1.5;3.375;3.875;3.625;3.125;1.875;12;9;8;9;9
395;Female;22;2;US;Other;1.125;1.375;4.125;3.75;4;3;7;13;6;11;8
397;Female;52;2;US;Other;1;3.625;3.625;3.25;1.5;2.125;12;13;6;13;3
398;Male;18;2;US;Other;2;2.125;2.25;2.625;2.625;2.375;11;5;6;8;7
400;Female;30;3;US;Other;1.375;2.75;2.125;3.375;1;1.125;13;9;10;12;8
401;Male;21;5;US;Other;2;2.375;3.375;3.875;2.875;2.25;9;12;7;8;4
402;Female;15;3;US;Other;2.125;4.125;2.25;4.5;2.625;2.125;11;8;12;9;4
403;Female;25;3;US;Other;1.375;2.25;2.375;3.625;2.75;3.25;9;12;4;13;6
404;Male;22;6;US;Other;3.375;2;3.125;3.25;3.125;1.5;13;12;14;7;4
405;Female;18;10;US;Other;1.375;2.25;1.625;4.375;2.625;3.375;14;14;7;4;9
408;Female;20;5;US;Other;1.125;2.375;3;3.625;3;1.5;9;9;7;10;11
410;Female;31;4;US;Other;3.625;3.25;1.25;3.5;2.875;3.625;12;12;7;7;11
413;Female;32;3;US;Other;1.375;4.125;3.875;3.625;2.5;1.75;14;13;4;12;7
414;Female;25;2;US;Other;3.375;4;4.375;1.25;1.5;2.25;13;11;2;10;9
416;Female;30;4;US;Psychology;3.875;4.625;4;4.625;4.5;3.75;13;14;13;11;8
417;Female;18;1;US;Other;1.625;1.625;1.75;4.625;3.75;3.25;12;14;7;8;4
420;Female;29;3;US;Psychology;1.25;1.625;3.125;4.375;3.125;3;10;13;8;10;4
422;Male;18;2;US;Engineering;3.375;2.5;3.875;3.75;3;3.125;8;9;6;11;8
423;Female;19;3;US;Other;2.875;4.625;4.75;3.125;2.125;2.125;12;14;5;11;8
424;Female;27;3;US;Other;1.25;3.5;1.75;3.375;1.75;2.5;12;10;7;11;7
425;Male;41;2;US;Engineering;2.125;3.5;3.75;1.75;2;2.25;10;11;5;8;8
427;Female;22;3;US;Psychology;1;2.5;2.375;4.125;2.375;1.5;10;10;13;10;10
428;Female;21;3;US;Psychology;1.875;2;3.375;3.25;2.625;2.875;12;12;7;10;8
431;Female;19;4;US;Other;1.875;3;2;4;4.5;3;11;12;7;11;10
432;Female;18;4;US;Other;1;3.75;1.75;3.625;3.5;2.125;14;14;12;8;8
433;Female;32;3;US;Other;1;1.875;2.625;4.125;1.625;2.625;9;14;4;13;7
434;Female;19;3;US;Other;1;5;4;3.875;2;2.25;9;13;9;11;12
435;Male;14;3;US;Other;2.125;1.125;2.5;1.75;2.25;2.125;11;13;8;8;4
436;Male;15;2;US;Other;1.375;2.375;2;2;1.75;1.5;11;12;5;11;3
437;Female;33;2;US;Other;2;2;1.5;3.25;1;1;7;14;9;10;4
439;Female;53;4;US;Psychology;1.625;2;1.75;3.875;1.5;1;12;13;14;9;8
440;Female;47;2;US;Other;1.5;2;1;1.25;2;1.125;6;10;2;7;11
442;Female;20;1;US;Other;1.375;2.375;2.625;3.375;2;1.25;12;14;8;8;6
443;Female;26;3;US;Other;1.75;4.375;2.375;2.875;1;1.125;13;12;7;10;7
444;Female;26;3;US;Psychology;1;5;1;4.875;1.5;4.875;14;14;11;8;2
448;Female;14;2;US;Other;1;2.5;2.375;2;2.25;1.75;14;9;13;7;12
449;Female;19;2;US;Other;1.25;2.375;1.875;3.875;3.25;3.125;9;9;8;9;10
450;Female;27;5;US;Other;3.375;3.5;5;4.875;4.25;4.875;14;14;10;7;3
451;Male;26;2;US;Other;2.5;2.375;1.375;4.375;3.75;3.75;13;14;14;9;10
454;Female;30;3;US;Other;1.75;2.875;2.375;1.875;2.125;3;7;13;6;14;2
455;Male;32;3;US;Other;1.875;4.125;2.875;1.875;1.25;1.875;10;8;3;10;11
456;Female;19;3;US;Other;1;3.375;2.5;2.625;1;2.25;13;7;6;9;10
459;Female;13;6;US;Other;1;2.5;5;3;3.25;1.25;8;8;1;8;8
460;Female;21;3;US;Other;2.125;2.375;1.625;2.625;2.375;1.25;11;13;13;11;5
463;Female;40;3;US;Engineering;2;2;3;4.5;3.5;3.75;10;13;8;14;13
466;Male;49;4;US;Other;3.375;4;3.375;1.875;2.875;3.75;11;14;7;9;2
467;Female;45;2;US;Other;3;4.875;2.5;3.875;2.375;1.875;14;14;6;10;9
469;Female;47;3;US;Other;1.75;4.5;3.5;4.625;2.625;3.625;13;13;9;14;3
471;Female;19;3;US;Other;1;4.25;2;4.375;2.125;2;11;9;6;9;4
473;Female;23;3;US;Other;2.625;4.5;5;4.5;3;2;14;9;14;9;9
